252	111661
253	120861
254	146165
255	155640
256	179030
257	178511
258	183745
259	184470
260	181822
261	176005
262	164585
263	144535
264	133884
265	118297
266	112696
267	112433
268	120433
269	113554
270	105716
271	94675
272	85127
273	87469
274	109540
275	119679
276	125946
277	132698
278	148883
279	160731
280	167364
281	188718
282	187782
283	175295
284	179101
285	175539
286	183921
287	167838
288	143439
289	132025
290	138813
291	137930
292	157811
293	161186
294	154749
295	136313
296	149514
297	178422
298	210983
299	213409
300	226300
301	261926
302	296520
303	312690
304	332682
305	338546
306	350564
307	333923
308	336931
309	313722
310	299950
311	267835
312	221563
313	201722
314	210938
315	210157
316	214093
317	199411
318	185571
319	187732
320	212451
321	240815
322	269357
323	297761
324	327132
325	373689
326	393461
327	400445
328	422259
329	419676
330	414092
331	378866
332	369131
333	364757
334	357404
335	315548
336	261092
337	255964
338	253897
339	268204
340	256628
341	273665
342	233768
343	241592
344	274661
345	310771
346	344955
347	355309
348	355990
349	390887
350	394027
351	409599
352	409587
353	406306
354	412505
355	388454
356	366061
357	343539
358	358350
359	328759
360	294169
361	262432
362	272321
363	246666
364	221205
365	220387
366	215141
367	238206
368	262909
369	298441
370	323846
371	338238
372	354722
373	404588
374	453556
375	461564
376	469840
377	471186
378	483379
379	453876
380	409545
381	409253
382	388713
383	343070
384	289689
385	261702
386	272925
387	276332
388	270212
389	272513
390	236079
391	225445
392	260451
393	308746
394	335910
395	346145
396	337443
397	377617
398	403597
399	434442
400	454194
401	434635
402	417034
403	407845
404	388191
405	380351
406	373371
407	328183
408	272718
409	233749
410	220084
411	194032
412	182526
413	174577
414	172100
415	158717
416	163806
417	180183
418	190390
419	207101
420	205928
421	218185
422	233073
423	255918
424	273195
425	286235
426	306015
427	300987
428	273568
429	260998
430	252142
431	236466
432	201230
433	190134
434	211255
435	202631
436	216254
437	194693
438	192305
439	159831
440	161958
441	174319
442	186551
443	209637
444	214949
445	226404
446	258673
447	281901
448	321368
449	321692
450	326328
451	294433
452	278468
453	311352
454	305249
455	292692
456	265111
457	240196
458	264382
459	323791
460	371597
461	396303
462	353244
463	373012
464	453044
465	558224
466	620692
467	665149
468	656907
469	748145
470	838996
471	873741
472	914890
473	878549
474	891634
475	851013
476	780809
477	772368
478	756611
479	679464
480	556878
481	559156
482	552656
483	543041
484	532038
485	554413
486	491097
487	496245
488	594591
489	660738
490	718372
491	760614
492	815738
493	923275
494	1079678
495	1138582
496	1216186
497	1204394
498	1212723
499	1175616
500	1127616
501	1126736
502	1070095
503	958246
504	800714
505	773717
506	794711
507	821524
508	796687
509	840942
510	764816
511	770631
512	931034
513	1075871
514	1174470
515	1237873
516	1272303
517	1523810
518	1890231
519	2257070
520	2730387
521	5143840
522	6516935
523	5681605
524	3005118
525	3161861
526	3830756
527	2598209
528	1833734
529	1636996
530	1691586
531	1476230
532	1310340
533	1222009
534	1226652
535	1193840
536	1391596
537	1458273
538	1460120
539	1358611
540	1439704
541	1608552
542	1900102
543	2103243
544	2289805
545	3790405
546	5336574
547	5112538
548	2716605
549	3023211
550	3441623
551	2383910
552	1639764
553	1447837
554	1508681
555	1362453
556	1205764
557	1153303
558	1033369
559	1003750
